City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
265,Gimli,50.6336,-96.9907,57.22,100,91,9.22,CA,overcast clouds,2022-06-13 16:36:11
266,Dabakala,8.3667,-4.4333,85.41,58,72,6.55,CI,broken clouds,2022-06-13 16:36:12
267,Malanje,-9.5402,16.341,69.4,28,8,1.61,AO,clear sky,2022-06-13 16:36:12
268,Gberia Fotombu,9.8833,-11.1667,81.91,67,70,1.77,SL,light rain,2022-06-13 16:36:12
269,Husavik,66.0449,-17.3389,54.9,68,100,9.31,IS,overcast clouds,2022-06-13 16:36:12
270,Kaitangata,-46.2817,169.8464,42.35,91,81,17.58,NZ,broken clouds,2022-06-13 16:36:13
271,Faanui,-16.4833,-151.75,79.56,67,6,20.51,PF,clear sky,2022-06-13 16:36:13
272,Khvatovka,52.3524,46.5628,63.46,57,48,3.38,RU,scattered clouds,2022-06-13 16:37:13
273,Lasa,46.6166,10.7002,72.48,50,49,5.39,IT,scattered clouds,2022-06-13 16:37:14
274,Toora-Khem,52.4675,96.11,57.56,91,100,2.13,RU,overcast clouds,2022-06-13 16:37:14
275,Sirhind,30.6456,76.3825,98.42,16,19,6.96,IN,few clouds,2022-06-13 16:37:14
276,Shirpur,21.35,74.8833,86.47,63,65,13.47,IN,broken clouds,2022-06-13 16:37:15
277,Lewisporte,49.2499,-55.0482,62.31,48,70,6.58,CA,broken clouds,2022-06-13 16:37:15
278,Ocean City,39.2776,-74.5746,88.29,74,71,5.01,US,broken clouds,2022-06-13 16:37:15
279,Yinchuan,38.4681,106.2731,73.85,17,0,5.48,CN,clear sky,2022-06-13 16:37:15
280,Araceli,10.5529,119.9913,82.78,73,92,4.07,PH,overcast clouds,2022-06-13 16:37:16
281,Maneadero,31.7167,-116.5667,67.1,85,8,3.0,MX,clear sky,2022-06-13 16:37:16
282,Komsomolskiy,40.4272,71.7189,77.72,31,98,9.22,UZ,overcast clouds,2022-06-13 16:37:16
283,Hualmay,-11.0964,-77.6139,66.97,71,60,7.94,PE,broken clouds,2022-06-13 16:37:17
284,Hof,50.3167,11.9167,64.49,46,0,11.99,DE,clear sky,2022-06-13 16:37:17
285,Svalyava,48.5485,22.9958,74.61,68,44,3.22,UA,scattered clouds,2022-06-13 16:37:17
286,Ous,60.9058,61.5186,53.83,71,47,3.29,RU,scattered clouds,2022-06-13 16:37:18
287,Progreso,21.2833,-89.6667,92.1,60,86,15.37,MX,overcast clouds,2022-06-13 16:37:18
288,Gerash,27.6652,54.1371,93.34,30,0,5.26,IR,clear sky,2022-06-13 16:37:18
289,Vilhena,-12.7406,-60.1458,73.62,38,0,8.05,BR,clear sky,2022-06-13 16:37:18
290,Razdolinsk,58.4211,94.6658,58.5,88,72,0.65,RU,broken clouds,2022-06-13 16:37:19
291,San Lorenzo,-25.3333,-57.5333,65.59,32,0,5.01,PY,clear sky,2022-06-13 16:32:52
292,Bayangol,50.6977,103.4656,54.12,85,91,3.69,RU,overcast clouds,2022-06-13 16:37:19
293,Bengkulu,-3.8004,102.2655,75.81,87,98,4.03,ID,overcast clouds,2022-06-13 16:37:20
294,Magadan,59.5667,150.8,42.53,92,100,2.59,RU,overcast clouds,2022-06-13 16:37:20
295,Naze,28.3667,129.4833,74.32,87,93,20.04,JP,overcast clouds,2022-06-13 16:37:20
296,Hambantota,6.1241,81.1185,80.64,81,53,16.04,LK,broken clouds,2022-06-13 16:37:21
297,Shenzhen,22.5455,114.0683,84.27,95,100,8.43,CN,overcast clouds,2022-06-13 16:35:43
298,Sterling,39.0062,-77.4286,91.22,62,40,5.99,US,scattered clouds,2022-06-13 16:35:25
299,Nome,64.5011,-165.4064,41.07,82,100,6.91,US,light rain,2022-06-13 16:37:21
300,Kaeo,-35.1,173.7833,51.33,91,27,9.89,NZ,scattered clouds,2022-06-13 16:37:22
